		NKP		1.100000E+01	
					
Strato 1	Zona 1	PCAP		SATC	KRW
5-11 cm	B	m	pressure	-	m/s
		4.000000E-01	-4.000000E-01	9.085485E-01	1.421782E-01
		2.000000E-01	-2.000000E-01	9.609349E-01	3.554456E-01
		1.000000E-01	-1.000000E-01	9.785060E-01	5.687130E-01
		1.000000E-03	-1.000000E-03	1.000000E+00	1.000000E+00
					
	Zona 2	PCAP		SATC	KRW
	C	m	pressure	-	m/s
		8.000000E+00	-8.000000E+00	6.500000E-01	1.283050E-06
		6.000000E+00	-6.000000E+00	6.800000E-01	2.566100E-06
		4.000000E+00	-4.000000E+00	7.161135E-01	5.132199E-06
		2.000000E+00	-2.000000E+00	7.611351E-01	1.430154E-05
		1.000000E+00	-1.000000E+00	8.260221E-01	1.002392E-04
		8.000000E-01	-8.000000E-01	8.444925E-01	1.628813E-04
		6.000000E-01	-6.000000E-01	8.633478E-01	3.107757E-04
		4.000000E-01	-4.000000E-01	8.916787E-01	1.197868E-03
		2.000000E-01	-2.000000E-01	9.497835E-01	1.005875E-02
		1.000000E-01	-1.000000E-01	9.802790E-01	4.979083E-02
		1.000000E-03	-1.000000E-03	1.000000E+00	1.000000E+00
					
	Zona 3	PCAP		SATC	KRW
	A	m	pressure	-	m/s
		8.000000E+00	-8.000000E+00	7.529147E-01	3.731743E-06
		6.000000E+00	-6.000000E+00	7.755964E-01	4.092000E-06
		4.000000E+00	-4.000000E+00	8.022198E-01	5.275185E-06
		2.000000E+00	-2.000000E+00	8.423276E-01	7.187334E-06
		1.000000E+00	-1.000000E+00	8.803679E-01	2.596753E-05
		8.000000E-01	-8.000000E-01	8.909481E-01	3.603879E-05
		6.000000E-01	-6.000000E-01	9.135606E-01	6.355631E-05
		4.000000E-01	-4.000000E-01	9.299495E-01	9.958052E-05
		2.000000E-01	-2.000000E-01	9.593389E-01	3.859221E-04
		1.000000E-01	-1.000000E-01	9.828504E-01	7.247563E-03
		1.000000E-03	-1.000000E-03	1.000000E+00	1.000000E+00
